Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence by machines.
What is Machine Learning?,Machine Learning is a subset of Artificial Intelligence.
What is Deep Learning?,Deep Learning uses neural networks to learn complex patterns.
What is NLP?,Natural Language Processing enables computers to understand human language.
What is Python?,Python is a popular programming language used in AI and Data Science.
What is Data Science?,Data Science involves extracting knowledge from data.
What is Streamlit?,Streamlit is a Python framework used for creating web applications.
What is a Chatbot?,A chatbot is a software application that simulates human conversation.
What is TensorFlow?,TensorFlow is an open-source machine learning framework.
What is Pandas?,Pandas is a Python library used for data manipulation and analysis.
What is NumPy?,NumPy is a Python library used for numerical computing.
What is Scikit-Learn?,Scikit-Learn is a machine learning library for Python.
What is an Algorithm?,An algorithm is a set of instructions used to solve a problem.
What is Data Analysis?,Data Analysis is the process of inspecting and interpreting data.
What is Big Data?,Big Data refers to extremely large datasets.
Who is Bindu?,She is a Good Girl.She Studies well and have the Creative Mindset of Problem-Solving
